index	DrugBankID
455	DB00697
456	DB00699
457	DB06772
458	DB00360
459	DB00361
460	DB00363
461	DB00364
462	DB06802
463	DB00366
464	DB00367
465	DB00368
466	DB09018
467	DB06809
468	DB00131
469	DB00130
470	DB00133
471	DB00132
472	DB00135
473	DB00134
474	DB08899
475	DB00136
476	DB00139
477	DB00138
478	DB00723
479	DB06201
480	DB06751
481	DB01621
482	DB00918
483	DB00917
484	DB00979
485	DB00915
486	DB00914
487	DB00913
488	DB00912
489	DB08800
490	DB00910
491	DB00757
492	DB00724
493	DB00756
494	DB04880
495	DB00624
496	DB00627
497	DB00626
498	DB00188
499	DB00620
500	DB00623
501	DB00611
502	DB00184
503	DB00185
504	DB00186
505	DB00187
506	DB00180
507	DB00181
508	DB00182
509	DB00183
510	DB08901
511	DB00613
512	DB00725
513	DB01261
514	DB00622
515	DB01208
516	DB00615
517	DB06292
518	DB00616
519	DB00617
520	DB04794
521	DB00984
522	DB00985
523	DB00829
524	DB00987
525	DB00980
526	DB00981
527	DB00982
528	DB00983
529	DB00823
530	DB00629
531	DB00821
532	DB00820
533	DB00988
534	DB00989
535	DB00825
536	DB00628
537	DB06616
538	DB01149
539	DB00991
540	DB06594
541	DB06725
542	DB01084
543	DB01028
544	DB00728
545	DB01382
546	DB01384
547	DB00729
548	DB01020
549	DB01021
550	DB01022
551	DB01023
552	DB01024
553	DB01025
554	DB01026
555	DB01213
556	DB01148
557	DB01177
558	DB00484
559	DB00715
560	DB00528
561	DB00714
562	DB00523
563	DB00521
564	DB00527
565	DB00524
566	DB06691
567	DB00337
568	DB00716
569	DB01338
570	DB01339
571	DB00621
572	DB00711
573	DB01336
574	DB01337
575	DB00722
576	DB00710
577	DB01154
578	DB00318
579	DB01156
580	DB00091
581	DB01151
582	DB01618
583	DB00659
584	DB00310
585	DB00313
586	DB00312
587	DB00315
588	DB01159
589	DB00317
590	DB00316
591	DB08822
592	DB00726
593	DB08932
594	DB00712
595	DB01375
596	DB06714
597	DB00412
598	DB00413
599	DB06707
600	DB00411
601	DB00795
602	DB00794
603	DB00797
604	DB00796
605	DB00790
606	DB00418
607	DB00419
608	DB00559
609	DB00558
610	DB00557
611	DB00555
612	DB00554
613	DB00552
614	DB00551
615	DB00550
616	DB00777
617	DB00776
618	DB00775
619	DB00774
620	DB00773
621	DB00772
622	DB00678
623	DB00679
624	DB00892
625	DB00677
626	DB00674
627	DB00675
628	DB00672
629	DB00673
630	DB00670
631	DB00778
632	DB08820
633	DB00388
634	DB00389
635	DB00387
636	DB00384
637	DB00385
638	DB00383
639	DB00380
640	DB00381
641	DB08877
642	DB04786
643	DB00371
644	DB08827
645	DB00703
646	DB00252
647	DB00253
648	DB00706
649	DB00255
650	DB00704
651	DB00257
652	DB00708
653	DB01200
654	DB01215
655	DB04835
656	DB06155
657	DB01171
658	DB06151
659	DB00986
660	DB04841
661	DB01203
662	DB01204
663	DB00379
664	DB01205
665	DB04878
666	DB05294
667	DB01206
668	DB01189
669	DB04876
670	DB04877
671	DB00175
672	DB00174
673	DB00177
674	DB00176
675	DB00171
676	DB00170
677	DB00173
678	DB00172
679	DB00179
680	DB00178
681	DB01118
682	DB01050
683	DB04838
684	DB06439
685	DB01435
686	DB04839
687	DB08819
688	DB01357
689	DB00824
690	DB00950
691	DB01370
692	DB00875
693	DB00876
694	DB00877
695	DB00870
696	DB00871
697	DB00872
698	DB00873
699	DB06237
700	DB04842
701	DB00717
702	DB01354
703	DB06795
704	DB01273
705	DB01275
706	DB01274
707	DB08811
708	DB01120
709	DB00588
710	DB00589
711	DB01113
712	DB01055
713	DB01054
714	DB01057
715	DB01056
716	DB01059
717	DB01114
718	DB01433
719	DB00583
720	DB00584
721	DB00585
722	DB00586
723	DB00587
724	DB01355
725	DB01116
726	DB00343
727	DB01117
728	DB00340
729	DB01580
730	DB00513
731	DB01182
732	DB00458
733	DB00459
734	DB00517
735	DB01186
736	DB01185
737	DB00514
738	DB00452
739	DB01129
740	DB00450
741	DB00518
742	DB00457
743	DB00454
744	DB00347
745	DB00788
746	DB00344
747	DB01576
748	DB00780
749	DB00228
750	DB00738
751	DB01426
752	DB01431
753	DB01029
754	DB00221
755	DB00732
756	DB00223
757	DB00222
758	DB00737
759	DB00656
760	DB00227
761	DB00226
762	DB01594
763	DB01595
764	DB00657
765	DB01590
766	DB01591
767	DB08868
768	DB08865
769	DB08864
770	DB01599
771	DB08860
772	DB02638
773	DB01430
774	DB01014
775	DB05246
776	DB01438
777	DB01437
778	DB00975
779	DB00358
780	DB00050
781	DB00428
782	DB00427
783	DB00354
784	DB00425
785	DB00424
786	DB00423
787	DB00422
788	DB00421
789	DB00420
790	DB00647
791	DB01183
792	DB00645
793	DB00644
794	DB00643
795	DB00642
796	DB00128
797	DB00129
798	DB00126
799	DB00127
800	DB06210
801	DB00125
802	DB00122
803	DB00123
804	DB00120
805	DB00121
806	DB06623
807	DB01180
808	DB00908
809	DB00909
810	DB00904
811	DB00905
812	DB00731
813	DB00907
814	DB00900
815	DB04938
816	DB00902
817	DB00903
818	DB01019
819	DB01184
820	DB01018
821	DB00633
822	DB00630
823	DB00631
824	DB00636
825	DB00542
826	DB00635
827	DB00519
828	DB04843
829	DB00940
830	DB00451
831	DB01622
832	DB00941
833	DB03147
834	DB08916
835	DB08889
836	DB08912
837	DB08911
838	DB08910
839	DB08810
840	DB01427
841	DB00455
842	DB00921
843	DB00945
844	DB00838
845	DB00839
846	DB01239
847	DB00946
848	DB00830
849	DB00831
850	DB01237
851	DB00947
852	DB00834
853	DB00835
854	DB00836
855	DB00837
856	DB06663
857	DB01579
858	DB00736
859	DB06148
860	DB00949
861	DB01192
862	DB08804
863	DB02546
864	DB04855
865	DB01429
866	DB01398
867	DB01399
868	DB01396
869	DB01397
870	DB01119
871	DB01395
872	DB01392
873	DB01393
874	DB01422
875	DB00769
876	DB08816
877	DB02187
878	DB01577
879	DB01303
880	DB01161
881	DB01160
882	DB01162
883	DB01165
884	DB01167
885	DB01166
886	DB01169
887	DB00960
888	DB05260
889	DB08828
890	DB05266
891	DB05265
892	DB04894
893	DB01380
894	DB01600
895	DB06700
896	DB00462
897	DB00461
898	DB00789
899	DB00467
900	DB00465
901	DB00464
902	DB00782
903	DB00783
904	DB00469
905	DB00468
906	DB00786
907	DB00784
908	DB00733
909	DB01017
910	DB01016
911	DB00548
912	DB00549
913	DB01013
914	DB01012
915	DB00544
916	DB00545
917	DB00546
918	DB00547
919	DB00540
920	DB00541
921	DB00014
922	DB00543
923	DB00764
924	DB00765
925	DB00942
926	DB00608
927	DB00944
928	DB00761
929	DB00762
930	DB00763
931	DB00603
932	DB00602
933	DB00600
934	DB00768
935	DB00606
936	DB00605
937	DB00604
938	DB01089
939	DB00735
940	DB06702
941	DB01367
942	DB09016
943	DB00734
944	DB01440
945	DB01366
946	DB01544
947	DB01364
948	DB01198
949	DB00306
950	DB00307
951	DB00304
952	DB01597
953	DB00302
954	DB00268
955	DB00264
956	DB00266
957	DB00261
958	DB01188
959	DB00308
960	DB00262
961	DB00117
962	DB00116
963	DB00115
964	DB00093
965	DB04890
966	DB06228
967	DB01199
968	DB00119
969	DB00118
970	DB00287
971	DB00286
972	DB00285
973	DB00284
974	DB00283
975	DB00282
976	DB00281
977	DB00280
978	DB01085
979	DB01110
980	DB00289
981	DB00288
982	DB01418
983	DB00511
984	DB00973
985	DB00162
986	DB00163
987	DB00160
988	DB00161
989	DB00166
990	DB00167
991	DB06706
992	DB00165
993	DB06709
994	DB00168
995	DB00169
996	DB04896
997	DB00997
998	DB01346
999	DB01158
1000	DB01291
1001	DB01297
1002	DB01296
1003	DB01295
1004	DB01191
1005	DB04574
1006	DB01359
1007	DB06684
1008	DB06689
1009	DB01217
1010	DB01216
1011	DB00841
1012	DB01267
1013	DB00843
1014	DB00842
1015	DB01262
1016	DB00844
1017	DB00847
1018	DB00846
1019	DB00849
1020	DB01347
1021	DB01214
1022	DB06218
1023	DB01340
1024	DB01268
1025	DB01342
1026	DB01352
1027	DB08907
1028	DB01353
1029	DB00309
1030	DB01219
1031	DB04898
1032	DB06605
1033	DB01218
1034	DB01049
1035	DB01046
1036	DB01047
1037	DB00959
1038	DB01045
1039	DB01043
1040	DB01041
1041	DB08996
1042	DB00338
1043	DB01067
1044	DB00999
1045	DB08815
1046	DB09014
1047	DB00998
1048	DB00500
1049	DB00501
1050	DB00502
1051	DB01193
1052	DB00504
1053	DB01195
1054	DB01196
1055	DB01197
1056	DB00508
1057	DB00509
1058	DB01063
1059	DB01103
1060	DB01115
1061	DB01463
1062	DB01466
1063	DB01102
1064	DB01101
1065	DB00481
1066	DB00480
1067	DB00483
1068	DB00482
1069	DB00429
1070	DB00487
1071	DB00486
1072	DB00489
1073	DB00721
1074	DB00335
1075	DB00334
1076	DB00333
1077	DB00332
1078	DB00331
1079	DB00727
1080	DB06144
1081	DB06781
1082	DB00799
1083	DB01104
1084	DB00357
1085	DB00798
1086	DB04845
1087	DB00356
1088	DB04575
1089	DB04844
1090	DB00351
1091	DB08806
1092	DB00350
1093	DB01125
1094	DB01124
1095	DB00348
1096	DB01126
1097	DB01121
1098	DB00353
1099	DB01123
1100	DB01122
1101	DB00434
1102	DB00435
1103	DB00436
1104	DB00437
